"wall, D99, 001","wall, D99, 001","door, D99, 001","wall, D99, 001","wall, D99, 001","wall, D99, 001","door, D99, 001","wall, D99, 001","wall, D99, 001","wall, D99, 001"
"wall, D99, 001","floor, D99, 001","floor, D99, 001","floor, D99, 001","wall, D99, 001","floor, D99, 001","floor, D99, 001","floor, D99, 001","floor, D99, 001","wall, D99, 001"
"wall, D99, 001","floor, D99, 001","floor, D99, 001","floor, D99, 001","door, D99, 001","floor, D99, 001","floor, D99, 001","floor, D99, 001","floor, D99, 001","wall, D99, 001"
"wall, D99, 001","floor, D99, 001","floor, D99, 001","floor, D99, 001","wall, D99, 001","floor, D99, 001","floor, D99, 001","floor, D99, 001","floor, D99, 001","wall, D99, 001"
"wall, D99, 001","wall, D99, 001","door, D99, 001","wall, D99, 001","wall, D99, 001","wall, D99, 001","door, D99, 001","wall, D99, 001","wall, D99, 001","wall, D99, 001"
"wall, D99, 001","floor, D99, 001","floor, D99, 001","floor, D99, 001","wall, D99, 001","floor, D99, 001","floor, D99, 001","floor, D99, 001","floor, D99, 001","wall, D99, 001"
"wall, D99, 001","floor, D99, 001","floor, D99, 001","floor, D99, 001","door, D99, 001","floor, D99, 001","floor, D99, 001","floor, D99, 001","floor, D99, 001","wall, D99, 001"
"wall, D99, 001","floor, D99, 001","floor, D99, 001","floor, D99, 001","wall, D99, 001","floor, D99, 001","floor, D99, 001","floor, D99, 001","floor, D99, 001","wall, D99, 001"
"wall, D99, 001","wall, D99, 001","door, D99, 001","wall, D99, 001","wall, D99, 001","wall, D99, 001","door, D99, 001","wall, D99, 001","wall, D99, 001","wall, D99, 001"
"floor, D99, 001","floor, D99, 001","floor, D99, 001","floor, D99, 001","floor, D99, 001","floor, D99, 001","floor, D99, 001","floor, D99, 001","floor, D99, 001","floor, D99, 001"
